boardType,title,content
[퓨어바닐라] 길드 게시판,[1%][Lv.48] 평화로운 성인 직장인 길드 ??월요일좋아??에서 길드원 모집합니다 (29/30),? ? 안녕하세요.  ? 성인 직장인 길드 '월요일좋아' 입니다. ? ?현생과 게임 둘 다 균형있게 챙기고 싶으신 분들 ? ?????(특히 직장인 분들) ? ?환영합니다. ? ? 공지 및 가벼운 사담용 오픈 톡방을 운영 중이며 ? ?되도록 참여를 권유하고 있습니다. ? ????????????(공지만 제대로 확인해주시면 톡방에서 아무 말도 안하고 겜만 하셔도 됨) ? ? ? 오픈톡방에  ? ?게임 닉네임으로 참여 및 토벌덱 스샷 첨부 ? ?용단계와 딜 얼마나 나오는지 ? ?말씀 부탁드립니다. ? ? 감사합니다. ? ? ? ???쿠킹덤길드?? 월요일좋아?? 길원모집?? https://open.kakao.com/o/sWex6Fid
질문 게시판,드디어 내 최애 퓨바정가 퓨바 토핑좀 알려주세요,내가 너를 얻을러고 지인짜 쨋든 저도 퓨없찐 탈출~ 용쿠덱이랑 딸샤바퓨파 쓸려는데 퓨바토핑 어케할까요 ?
자유 게시판,원래있던 길드가 터져서 투력,많이 낮아졌다….
[퓨어바닐라] 길드 게시판,간섭없는 1~2% 길드에서 두 분 모십니다,"1~2퍼 길드에서 두자리 충원합니다? 뱀파 5별 60렙 / 길드랜마만 봅니다! ? [독립문 길드] -상위 1~2% (1200위권) -길드레벨 47 -전 길원 길드랜마 보유  -정보공유 오픈챗 필참 (토벌 관리용) -최소 관리 (시즌당 2일 미접 / 토벌 2회 미참 시 경고 후 강퇴)? -모두 매너 좋고 겜 재밌게 즐기시는 분들입니다 ? [모시는 분] -?뱀파 5별 60렙 -길드랜마  (없으시면 이번 시즌 정산 후 세워주시면 됩니다) ?-알아서 오후 10 이전 토벌 3회만 나눠 잘 쳐주시면 됩니다 ? ? 닉네임, 투력 스샷 댓글로 달아주시면 대댓글 드리겠습니다!"
자유 게시판,5%길드 인데 빡센 길드장님으로 바뀌었네,예전  몰아치기 ㄱㄴ 1일 3회   토벌 250만이상 ? 현재 토벌딜 350이상 나눠치기  ? 나눠치기 하는 길드 힘들지 않나요? 지금 옮길 생각도 하는 중
질문 게시판,무과금 유저인데 어떻게 키우는 게 좋을까요?,아레나 위주로 게임 돌리고 덱은 딸바블뱀퓨 or 딸바블감퓨 쓰고 있습니다 바요 만렙이 목표인데 잘 키우고 있는 건가요???
자유 게시판,쿠태기 온걸까요?,뉴비짱 때는 정말 열심히 했었는데 요즘은 할게 없어서 파밍도 뭐고 아무 것도 안 하는 중.. 그나마 하는 건 아레나.. ㅜㅜ
[퓨어바닐라] 길드 게시판,"「피노키오」 길드원 모집합니다. \
투력 60만 ↑ 「1~2 % 유지 길드입니다.」",현재 2퍼 입니다. ? 랭커진입 x / 매 시즌 상위1~2 % 유지 길드 ? 「피노키오」 1. 전투력 60만 ↑ 「길드레벨 47」 ? 2. 미접속 1일 추방(사유 : 길드채팅) ? 3. 매일 토벌전 / 기부 필수 o  ? 4. 토벌 60만 ↑ 뱀파 / 호밀 / 독버섯 / 샤벳 환영 (5성 필수) ? 5. 톡방 / 욕설 / 친목x ? 6. 파르페타리움 x(자유) ? 7. 제명 순위(강퇴 = 참여도가 많이 낮으신분.)  1) 토벌전 미참여 / 1일 미접(매일) 2) 토벌전 하위 28~30등(시즌) ? 꾸준히 오래 쿠킹덤 하실분 구합니다! (길드장 절대 안접어서 믿고 오셔도 좋습니다.)
질문 게시판,길드 기여도 질문,기여도 230만 채우려면 한타당 몇뎀씩 치면 총 230만 가능?
자유 게시판,숨은 구미호 찾기,? 미방 겸 처음나온 홀베 영혼석
[퓨어바닐라] 길드 게시판,1% 길드 찾아봐용 ㅠ,규칙이 너무 빡빡하지 않으면 좋겠습니다 ?
[퓨어바닐라] 길드 게시판,1퍼 길드 가입신청합니다,오버클라스 초대부탁해요 ? 출석확실하고 토벌 4-500나옵니다 ?
질문 게시판,토벌 한타당 240씩치면,총기여도 몇가능?
[퓨어바닐라] 길드 게시판,현재 3퍼 길드에서 두분 모십니다,"길드 이름 런닝구, 레벨 45 초대 가입입니다ㅡ ? 일주일 토벌 기여도 70만 이상 일일 출석, 길드 렙업 필수 ? 미접 사유 사전에 알려주세요! 사유 없이 미접 2일이면 강퇴될 수 있어요"
자유 게시판,아 아레나 상점 개싫다;;,지금 몇번째 계속 홀베냐;;; 퓨바 1번뜨고 아예 모습을 보이지가 않네  나 홀베 안쓴다고;;; 그만 쳐나와라
자유 게시판,나만 이런거 아니지..?,마녀 저주한다 200번 돌렸는데 왜 이런건데
[퓨어바닐라] 친구 찾기,[뉴뭄]23/30 오래 선교하며 게임하실 친구 모십니다,몇 달째 즐기는중~~  안 접고 평생 하시면 환영
[퓨어바닐라] 길드 게시판,"Lv47, 1% [에어프라이어] 길드원 모집(29/30, 오픈톡X, 친목X)","-1일 미접 또는 토벌전 1일 미참여 시 강퇴????? ? -오픈톡X, 친목X ? ?????-토벌전 1회 데미지 350만 이상???????? ? 에어프라이어 <- 검색 후 가입신청 ㄱㄱ?"
자유 게시판,이걸 못이기네,350퍼 받은 딸크 딜량이 스파클링 힐량 못이김ㅁㅊ
[퓨어바닐라] 길드 게시판,"[길드모집] [길드레벨 47, 상위1%] 길드원 신규 모집의 건 (동등 수준 길드 대비 최저 가입 요건, 28/30)","[길드모집] [길드레벨 47, 상위1%] 길드원 신규 모집의 건 (동등 수준 길드 대비 최저 가입 요건) 안녕하십니까, 상위 1퍼센트 (직전 시즌 778위) 하리보 말랑펀치 길드의 ,,포츠담'' 부 길드마스터 입니다. ? 본 길드는 창단후 계속해서 1퍼센트를 유지하고 있으며, 길드원 1인 모집을 위해 본 공고를 올리게 되었으니 플레이에 참고하시기 바랍니다. ? ? 1. 모집인원 : 1명 ? 2. 길드소개 : 랭킹, 상위권을 겨냥하지는 않으나, 토벌전 정도는 안정1% 내에 들기위해 노력하는 유저모임 ? 3. 가입혜택        - 매 시즌별 5000 크리스탈 안정적 수급 (전 시즌 연속  1%)        - 길드 가입시, 공격력 +7.7%, 방어력 +12.5%, 체력 +12.5% 상승            (길드레벨 47에 따른 버프 효과)        - 오픈채팅을 통한 게임 플레이 팁 공유 (*단, 친목 없음) ? ? 4. 가입요건        - 금번시즌 한정 ,,가입요건 다소 미달시에도 융통성 있게 가입가능합니다\        - 전투력 50만 이상 (닥"
질문 게시판,데브 밸붕 조절 못함?,티어높은 뱀파 샤벳 블레 다 침투형인데 소닉 테일즈 다 침투 해놓으면  파우더부족 어떻게 해결하냐? 킹패 안사면 하루3번인데 가능할거같아? 하루 전투횟수를 늘려주던가 다른 수급처를 주던가 에잇 왜 귀여운거야!!! ?
자유 게시판,어둠 11-30 공략 (별 세개!),?
[퓨어바닐라] 길드 게시판,1% 47레벨 [달달]길드에서 길드원을 모집합니다! [27/30],"[길드모집] 상위 1% 47레벨 [달달]길드에서 길드원을 모집합니다! ? [달달]길드 27/30 ? ? ? 즐겜과 빡겜 사이 어딘가! ? 길드 컨텐츠 오픈후 매번 1% 보상! ? ? -현 900위 대- ? ? ? ? ? 1. 성인 길드입니다. ? 2. 토벌전 300만 이상 가능하신 분 ? 3. 매일 토벌전 3회 참여 필수 입니다. 토벌전 불참시 추방될 수 있습니다. ? 4. 공지 및 정보 공유, 사담을 위한 오픈톡 참여는 필수입니다. ? ?가입 문의) ? https://open.kakao.com/o/ssjGnCwd"
[퓨어바닐라] 길드 게시판,2프로길드 한분 모집합니다,Lv46 2% 친목x 단톡x ? ? 토벌덱50만이상 및 토벌전 3회필참 외 제한X ? ? 관심있으신분 댓글남겨주세욧 :
자유 게시판,제가 길드 비꾸려고 생각은 하긴했는데 재가입까지 1일 걸리는 게 힘든데 재가입을 빨리 하는 방법 없나요?,1일 기다리는 게 너무 힘듬
[퓨어바닐라] 길드 게시판,친선에서 길드원 모집합니다,"안녕하세요 친선 입니다. 어느덧 많이 오셔서 1자리 남았습니다.( 29 / 30 ) 현재 4퍼이고 쭉 차고 오를수있습니다.! 오래 같이 하실분으로 모집합니다.(철새사절) ? ☆가입조건☆ # 성인이신분 # 토벌전 꼭 참여가능하신분. (몰아치기 하셔도되고, 센스껏 쳐주세요/기여도 스트레스 없습니다.참여만 잘해주세요) # 편하게 겜 하시면서 단톡방 가능하신분. ? ♡상담방 카톡안내♡ ?https://open.kakao.com/o/gVStbXyd"
자유 게시판,요거트 실장 기원 10일차,?
자유 게시판,신규 인연 업뎃 기원 3일차,사실 기대 안됨
자유 게시판,달토끼 성능은 구린 것 같음,일단 겜하면서 상대가 죽으면 어쩌고 하는 캐릭이 좋은건 별로 못봄
[퓨어바닐라] 길드 게시판,"매 시즌 1% 유지, 4nn위 Lv. 48 \별사탕맛쿠키\"" 길드에 길드원 모십니다!! (28/30)""","매 시즌 1% 유지, 4nn위 Lv. 48 \별사탕맛쿠키\"" 길드에 길드원 모십니다!! ? 최소한의 규칙만 지켜주시면 됩니다 !! ? 규칙 1. 50단계 전까지는 나눠치기 규칙 2. 일정 피 이하 본인이 처리하기 규칙 3. 11시 30분 전까지 토벌 3회 완료하기 ? 옾챗 있기는 한데 필수 아니고 대부분을 인겜챗에서 공지하고 있습니다. 친목 일절 없습니당 ???? 40레벨 용 기준 노크리 350만딜 이상이신 분 모십니다 ! 길드랜드마크는 권장입니다 (필수X) ? ☆ 당일 가입하실 수 있는 분으로 우선 모십니다 ☆ ? 토벌덱과 딜사진 첨부하여 옾챗으로 연락 주세요 ???? ? 함께 크는 별사탕맛쿠키 길드에서 즐쿠킹덤 같이 해요~~ ? 옾챗 링크 :https://open.kakao.com/o/sAa55Exd"""
자유 게시판,알고보면 달토끼도 공속덱 아닐까?,음...엄청 솜딜이라 안될거 같지만 혹시 몰라
버그 제보하기,노움 한마리가 살아졌어요,"게임 이용 중 불편을 겪으셨다면 아래 항목에 맞게 기재하여 제보해 주세요.  즐거운 환경을 제공해드릴 수 있도록 노력하겠습니다.  ※ 빠른 제보와 확인을 위한 게시판으로, 모두 답변을 드리기 어려울 수 있다는 점에 양해를 부탁드립니다.  ※ 결제 번호, 쿠폰 번호 등 개인정보 확인이 필요한 사항은 공식카페에서 공개되지 않도록 유의 부탁드립니다.  ? 1) 지금 / 노움 2마리가 중복으로 생산가속 연구중 2) 2.0.303 3) 갤럭시s20 4) 퓨어바닐라 5)  어쎄신크리도 6) 상세한 현상(스크린샷을 포함해 주시면 큰 도움이 됩니다)"
자유 게시판,개인적으로,"부옵션 바꾸거나 수치 증폭시키는거 있으면 좋겠다... 부옵에 해효감,이효증 나오면 짜증남-_-"
[퓨어바닐라] 길드 게시판,1명을 애타게 기다립니다 하멜길그 2퍼 lv.46,안녕하세요 하멜 길드장 미라클티 입니다 ? 저희 길드 lv.45이며 곧 46입니다 이번시즌 2% 14nn 마감으로 ? 전시즌 대비 200등 향상한 성장하는 길드 입니다 ? 저희는 2일미접시 미통보 강퇴이며 ? 오픈채팅은 없고 길챗으로 가끔 소소한 채팅을 하고 있습니다 ? 용 40렙 기준 250만 딜 이상을 뽑습니다 ?
[퓨어바닐라] 길드 게시판,길드구합니다~!,#길드 구합니다. 오늘중으로 저도 찾아보고 댓글도 보고 해서 토벌칠수있도록 하겠습니다. ???♂????♂? (토벌은 사진보다 조금더 쌥니다.) 노치 치명 ?
자유 게시판,근데 솔직히 소닉이랑 테일즈...,얘네가 구데기일리가 없음 사기아니면 보통이지 구데기면 굳이 콜라보한이유가 없잖슴
자유 게시판,3성,그..그러니? ?
[퓨어바닐라] 길드 게시판,바다고양이 길드에서 길드원을 구합니다,?
[퓨어바닐라] 길드 게시판,1퍼 즐겜길드 ??반딧별에서 두분 모셔봅니다(28/30),"??즐겜길드, 친목X / 정보,게임 사담만 ??토벌 미소진 2회 경고후 추방 ??몰아치기 방지를 위해 오후 2시전 접속시 1회 토벌 체크 ??오픈챗 X, 나눠치기 권장 ? 전시즌 1퍼 유지했고 이번에 1nnn위로 마무리했습니다! 즐겜길드지만 계속 1퍼 유지하고픈 길마맛쿠키입니다..:( 매일 3회 토벌해주시고 같이 1퍼 유지해주실 길원분 모십니다!?? ? 토벌 최소 200만 이상 치시는분 환영입니다ㅠㅠ! 가입의사 있으시면 댓글 혹은 가입신청 부탁드립니다! ? ??바로 가입 가능하신분 대환영이에요!!!! ?"
자유 게시판,달토끼가 쓰레기인 이유,"스킬 쓰고 변신하면 구데기임 ex) 구미호맛 쿠키, 웨어울프맛 쿠키 대신 귀여움은 1짱 먹음"
질문 게시판,뭐 키우는게 좋나요?,그리고 계속 뽑기 하면 되나요?
자유 게시판,달토끼 소닉 테일즈 존버가야지,성능도 모르는데 으딜 별사탕을 굇수님들이 알려줄거야 ? 예상은 달토끼 : 딜힐? 이도저도 안될듯 소닉 : 공속덱 끼여들어감(좋아야 가능) 테일즈 : 가망있나...? 몰겠다 ? 이정도 생각이라 일단 별사탕 부족러들은 이쁘다고 꼴박말고 대기하자. ? 뽑는건 안말림. 키우는건 고려하자.
자유 게시판,달토끼 뽑을 려고 만다야 대기중,나와 주겠지? 솔직히 보상 좀 퍼줄거 같은디...?
[퓨어바닐라] 길드 게시판,[길드모집] [1퍼길드] 47렙 ‘사랑’ 길드에서 길드원 모집합니다,모든 토벌 시즌 1퍼 달성한 ? ? ? ? ? ? ? '사랑' 길드입니다. ? ? ? ? ? ? ? 엑셀로 관리하기에 출첵필요 없이 그냥 토벌 매일 3회 필참만 해주시면 됩니다. ? ? ? (몰아 때리셔도 상관없지만 나눠치는것을 권해드립니다.) ? ? ? ? ? ? ? 길드 톡도 따로 운영하고 있지만 필수는 아닙니다. ? ? ? ? ? ? ? 다만 미참시 사유를 길톡에 적어주시는게 좋기에 들어와만 있는 것을 추천드립니다. ? ? ? 그리고 만약 길드 토벌 순위 10위 안에 든다면 미참이나 토벌 3회 전부 못치셔도 인정합니다. ? ? ? ? ? ? ? 길드 조건은 ? ? ? ? ? ? ? 뱀파 5성이상 60렙 ? ? ? 호밀 or 블랙레이즌 or 독버섯 중 두명의 쿠키 5성 60레벨 ? ? ? 감초 50렙 이상 ? ? ? 다크초코 50렙 이상 ? ? ? ? ? ? ? 위 조건 중 몇개가 조금 부족한 정도는 감안합니다. ? ? ? ? ? ? ? 가입을 원하시면 길드면접방에 들어와서 문의주세요. ? ? ? ? ? ? ? 현재 2자리 남았습니다. ? ?미참길원분들 정리중이라 2자리 더 예약입니다. ? ? ? ? ? ? 현재 순위 879위 입니다. ? ? ? ? ? ? ? ?길드 가입 요청 방입니다. ? https://open.kakao.com/o/gM0JDdZc
자유 게시판,싸닉 걍 유사 라일락 아님?,ㄹㅇ
질문 게시판,소원나무 질문이요,"쿠키성 10렙 뉴비입니다. 지금까지 쿠키하우스 5렙으로 하다가 최근에 최소 10렙까지는 가야된다는 말을듣고 부랴부랴 하우스 렙업중입니다. 소원나무 하루에 45번, 보상 3번은 다 완료 하는데도 골드는 매일 마이너스 나고 있어요.. 보상 다 받고도 시간/재료 여유되면 계속 계속 하시나요???"
자유 게시판,딸크 확률업이냐?,뭐야 이게
[퓨어바닐라] 길드 게시판,길드구합니다~!,성인 #길드 구합니다. 오늘중으로 저도 찾아보고 댓글도 보고 해서 토벌칠수있도록 하겠습니다. ???♂????♂? (토벌은 사진보다 조금더 쌥니다.) 노치명 치명 ?
자유 게시판,설마 달토끼도,"오징어,무화과,구미호 처럼 뽑아야하는거 아니겠지?"
자유 게시판,오징어먹물 키워두 되나???,낫배드??:?
자유 게시판,누구야,이효증 누가 외쳤어
[퓨어바닐라] 길드 게시판,1퍼 길드 3명 모집합니다.,"길드레벨47 지난시즌 순위는 1200 위 정도 수준입니다. ?아쉽게도 인원부족으로 2%로 마무리했습니다. 하지만 인원충당되면 1%는 충분합니다. 어서오세요~! ? 프리한 길드입니다. ? 친목이나 오픈톡 없습니다. 나이제한, 성별제한 없습니다. 랜드마크 유무 따지지 않습니다. 기본만 지켜주시면 프리하게 활동하실수있습니다. ??토벌전 나눠치기 권장합니다.  ? 프리한 만큼 아래 조건 지키지 못할경우 칼같이 추방됩니다.(00시 넘으면 집행) 1. 하루 토벌 3회 참가 할 것 2. 시즌 종료시 기여도 200만 이상? 일 것 ? 3명 모집합니다. ? 많은 신청 바랍니다. 닉넴 댓글 남겨주세요.^^ ?"
[퓨어바닐라] 길드 게시판,??쩝쩝박사쿠키?? 길드원 모오집 yea~ (29/30),길드Lv.46 상위 2% 저번시즌 용레벨 56 요로코롬느낌입니다Yo~.~ ? 매일출석 + 토벌전 매일 3회 참여 ? 말고는 규칙 없읍니다요~~>>Very Free<<한 길드~예~요~~ ? 한분 모셔봅니다~~~~ 커몬ㅍ베이베?? ? 투력 낮아도 꾸준히 성장하실 분도 괜찮고 같이 즐겁게 게임하실 분 완전 환영합니다!!! (고수님들 와주시면 압도적 감사) ? 편하게 물어봐주세요잉~.~
[퓨어바닐라] 길드 게시판,?? 서울우유 ?? 길드원 모집 ! 친목 옾챗 X?(29/30),"?? 서울우유 ?? ? 상위 1% 길드레벨 47 친목 및 옾챗 X 철새 X 토벌 투력 50만▲ 평균 250만▲ 기여도 150만▲ 나눠치기 권장, 바쁘실 땐 몰아치셔도 OK 토벌 미참여시 무통보 추방입니다. - 밤 11시 55분까지 참여완료 하기. 횟수 미참 경고 ?3번 누적시 강퇴입니다. - 토벌 기간에 누적 3회 추방. 그 이하로 받은 경고는 초기화 됩니다. ? 성실하고 꾸준히 성장 하시는 분!  토벌전에 진심이신 분! 오래 지내실 분 환영해요! 친목은 없지만 정보 공유나 질문, 건의사항 있으시면 바로바로 채팅 써주세요! 적극반영 하겠습니다! ?길드 자주 옮기시는 분 안 받습니다.? ? 킹덤 초기때부터 생성하고 관리해온 길드입니다. 1% 유지를 위해 오래오래 함께하실 분^ㅅ^ ? 토벌 덱 / 용 스샷 / 닉네임 남겨주세요! ? ?"
자유 게시판,이거 진짜 어케 이긴거지,이 이게 무슨
자유 게시판,아니 차단해도 인글가면 볼수 있네...,제발 보고싶어도 참아...
자유 게시판,쓰레기 확업,탱커를 달라고...다크초코나 딸크....쓰레기 확업중;;
[퓨어바닐라] 길드 게시판,현1% 레벨46 ????타짜???? 길드에서 길드원을 모집합니다 (29/30),"현1% 타짜 길드에서 길드원을 모집합니다 ? 왕국35이상 전투력30만이상  토벌 용40렙 기준250만딜이상  매주 기여도 150만 커트라인 ? 토벌전 매일 23시30분 체크 이후 참여시 채팅으로 알려주세요 ? 2일미접, 토벌 주2회 미참여  잦은 1일 미접 추방  토벌 나눠치기 강요X 권장O ? 미리 사유 말씀해주시면 반영해드립니다 ? 나이제한 오픈톡 X ? 가입신청 전 토벌덱 확인 하고있습니다 ? 길마 https://open.kakao.com/o/sxiOcJdd ? 부길마 https://open.kakao.com/o/szXtGymd ? 오픈톡 두군데중 한곳에 연락주시면됩니다. ? 길마가 일하는중에는 답장이 느릴수있으니  양해부탁드립니다"
[퓨어바닐라] 길드 게시판,<망고와츄르> 길드원모집합니다!!!! 1% 길드렙47 (29/30),"저희는 1%를 유지하고있는 길드입니다. ? 길드컷은 계정랩 40이상 뱀파랩 60 뱀파덱50만 이상, 토벌 고정300만이상 가능하신분입니다.  ? 현재 저희 길드의 레벨은 47입니다! ? 초대가입이라서 댓글에 닉네임, 전투력, 토벌 데미지남겨주세요~~! ? ? (길드톡x, 친목x, 1일미접 or 1일 연속 길드토벌3회 미참 강퇴)"
자유 게시판,달토끼 스토리에서는 좋을 수도...,아닐수도...
[퓨어바닐라] 길드 게시판,1퍼 즐겜길드 ??반딧별에서 두분 모셔봅니다(28/30),"??즐겜길드, 친목X / 정보,게임 사담만 ??토벌 미소진 2회 경고후 추방 ??몰아치기 방지를 위해 오후 2시전 접속시 1회 토벌 체크 ??오픈챗 X, 나눠치기 권장 ? 전시즌 1퍼 유지했고 이번에 1nnn위로 마무리했습니다! 즐겜길드지만 계속 1퍼 유지하고픈 길마맛쿠키입니다..:( 매일 3회 토벌해주시고 같이 1퍼 유지해주실 길원분 모십니다!?? ? 토벌 최소 200만 이상 치시는분 환영입니다ㅠㅠ! 가입의사 있으시면 댓글 혹은 가입신청 부탁드립니다! ? ??바로 가입 가능하신분 대환영이에요!!!! ?"
자유 게시판,이런건 또 처음 봄,ㅋㅋ 놀랍넹 평균회긴가
[퓨어바닐라] 길드 게시판,3퍼길을 원하십니까? 이쪽으로 오세여,"공감길드 3기 가입을 원하신다면 이 글을 필독해주세요!  ? ??공통 가입조건?? ? 14세 이상 ? 토벌전 3회 참여 필수 <<<<< 중요?? ? 공지방, 소통방 운영 중 ? 매너있는 채팅 필수!  ? ??공감길드 3기(3%,길드레벨 40 ) 피해량 100만 이상이신분들 모두 문의주세요!  ? ??길드 가입을 원하신다면 제 댓글로 연락주세요!!?? 무조건 만족하시지 않더라도 대부분은 승인해드립니다."
자유 게시판,이게  라즈베리 픽업....?,?
자유 게시판,이거 왜이김,정전이 밥값했다고 봐야하나
자유 게시판,달토끼가...,적어도 방어형인 딸크보단좋겠지?
자유 게시판,무공 내놔,스태프도 따라잡겠네
자유 게시판,아니 쿠킹덤 앱 리뷰 보면 정말 내가 답 해주고 싶어,끄라고 글로벌메시지 ? 나랑 같은 생각을 한 사람들 큐ㅠ큐큐큐큐큐큐ㅠ큐큐큐큐ㅠㅠㅠ
자유 게시판,그냥 크탈 킵하면 됨?,
[퓨어바닐라] 길드 게시판,현1% 레벨46 ????타짜???? 길드에서 길드원을 모집합니다 (29/30),"현1% 타짜 길드에서 길드원을 모집합니다 ? 왕국35이상 전투력30만이상  토벌 용40렙 기준250만딜이상  매주 기여도 150만 커트라인 ? 토벌전 매일 23시30분 체크 이후 참여시 채팅으로 알려주세요 ? 2일미접, 토벌 주2회 미참여  잦은 1일 미접 추방  토벌 나눠치기 강요X 권장O ? 미리 사유 말씀해주시면 반영해드립니다 ? 나이제한 오픈톡 X ? 가입신청 전 토벌덱 확인 하고있습니다 ? 길마 https://open.kakao.com/o/sxiOcJdd ? 부길마 https://open.kakao.com/o/szXtGymd ? 오픈톡 두군데중 한곳에 연락주시면됩니다. ? 길마가 일하는중에는 답장이 느릴수있으니  양해부탁드립니다"
[퓨어바닐라] 길드 게시판,클럽 구합니다 저 무과금이라 딜30만이고요 성 41렙 그리고 전투력 25만이에요,제발 좋은클럽 가입 받아주세요
[퓨어바닐라] 길드 게시판,1퍼 즐겜길드 ??반딧별에서 두분 모셔봅니다(28/30),"??즐겜길드, 친목X / 정보,게임 사담만 ??토벌 미소진 2회 경고후 추방 ??몰아치기 방지를 위해 오후 2시전 접속시 1회 토벌 체크 ??오픈챗 X, 나눠치기 권장 ? 전시즌 1퍼 유지했고 이번에 1nnn위로 마무리했습니다! 즐겜길드지만 계속 1퍼 유지하고픈 길마맛쿠키입니다..:( 매일 3회 토벌해주시고 같이 1퍼 유지해주실 길원분 모십니다!?? ? 토벌 최소 200만 이상 치시는분 환영입니다ㅠㅠ! 가입의사 있으시면 댓글 혹은 가입신청 부탁드립니다! ? ??바로 가입 가능하신분 대환영이에요!!!! ?"
자유 게시판,오 이게 되네,우왕
자유 게시판,남궁뭐군  박제,https://cafe.naver.com/crkingdom/1813090 내가 말한 시비충이 이ㅅㄲ임 나를 어떻거 알았는진 모르겠지만 우리반임 실명 까였을땐 어떡함? 신고는 해둠
자유 게시판,역시 저렙용은 원콤이 제맛이지 ㅋㅋ,크으 이거지 ? ? ? ? ? ? 아니 ㅅㅂ 개빡치네 막판에 망쳐버리다니...
자유 게시판,쓰바 이게 뭐냐,ㅅㅂ 뭔버그냐
?? 스크린샷 게시판,무금이 바요얻기 9일전!,ㅈㄱㄴ! ㄱㅈㅇ!
자유 게시판,이번 신쿠들 파우더 미치겠네,침투헝 두개에 홀베로 파우더 다 썼는데 방어형이 또 나온다라... 소장용으로 나와라
[퓨어바닐라] 길드 게시판,"매 시즌 1% 유지, 4nn위 Lv. 48 \별사탕맛쿠키\"" 길드에 길드원 모십니다!! (29/30)""","매 시즌 1% 유지, 4nn위 Lv. 48 \별사탕맛쿠키\"" 길드에 길드원 모십니다!! ? 최소한의 규칙만 지켜주시면 됩니다 !! ? 규칙 1. 50단계 전까지는 나눠치기 규칙 2. 일정 피 이하 본인이 처리하기 규칙 3. 11시 30분 전까지 토벌 3회 완료하기 ? 옾챗 있기는 한데 필수 아니고 대부분을 인겜챗에서 공지하고 있습니다. 친목 일절 없습니당 ???? 40레벨 용 기준 노크리 400만딜 이상이신 분 모십니다 ! 길드랜드마크는 권장입니다 (필수X) ? ☆ 당일 가입하실 수 있는 분으로 우선 모십니다 ☆ ? 토벌덱과 딜사진 첨부하여 옾챗으로 연락 주세요 ???? ? 함께 크는 별사탕맛쿠키 길드에서 즐쿠킹덤 같이 해요~~ ? 옾챗 링크 :https://open.kakao.com/o/sAa55Exd"""
[퓨어바닐라] 길드 게시판,1퍼안정권 길드 말랑에서 여러분을 모집합니다 !,1퍼안정권 길드 말랑에서 여러분을 모집합니다 ! ? 1퍼안정권 길드 여서 2퍼떨어질 걱정없고 귀찮은규칙없이 편안하게 토벌하실수있습니다! ? 안녕하세요! 오픈채팅방은 친목용이아니며 정보교류용입니다! ? 오픈채팅방참여는 필수이고 길드조건은 470만이상이시면되요!!1퍼안정권 길드 여서 2퍼떨어질 걱정없고 귀찮은규칙없이 편안하게 토벌하실수있습니다! ? 조금 모자르시더라도 문의주시면 감사하겠습니다!!길드레벨은 48레벨입니다!^^  ? 1~25까지 원콤가능 한단계까지만 정해주고 그 이외에는 따로 귀찮은 규칙같은건 다 뺐습니다! ? 모르시는거나 고민거리가있으시면 물어보시고 길드토벌전 및 아레나 스토리 등등 많은분들이 자세히 피드백해드려요! ? 길드 들어오고싶으신분들은 댓글에있는 오픈채팅방 링크로 문의주시면 감사하겠습니다 ??!  ? ? ? 경고제 ? ? ? 토벌미참여시 경고 2회입니당! 경고는 2시즌이상 빠짐없이 토벌 참여시 1번씩 지워집니당.
질문 게시판,[생산 테크 질문] 열면 안 되는 생산품이 있나요?,"안녕하세요! 현재 15성 건축까지 50일 남은 쿠린이.. 는 아니고 한 쿠청소년쯤 되는 유저입니다. 쿠키런 초창기 때 '이 꽃은 죽어도 열지 마라'던 시절을 기억하시는지요? 지금 저는 웬만큼 생산이 쌓여 있음에도, 열면 안 되는 걸 열어버릴까봐 섣불리 생산 테크 진행을 못하고 있습니다. 용과드래곤 인형과 크로와상은 열지 말라는 말을 몇 번 들었습니다만, 이 밖에도 함부로 열면 안 되는 생산품들이 있나요? ? ?"
질문 게시판,딸크 뱀파 샤벳 중 뭘 먼저 만렙찍을까요?,딸크 3성 52렙 ? 뱀파 4성 46렙 ? 샤벳 0성 43렙 ? ?
자유 게시판,과금 하니?,? ?
