boardType,title,content
자유 게시판,중국이 대단한 나라인건 맞음,인구1위경제2위군사력3위영토크기4위
질문 게시판,이거 가 ? 마러?,짜증나네 ?
자유 게시판,쿠옵탈은 지능순이다,난 이미 빠져나옴  쿠키의 도전 하드모드 나올때부터 알아봤다 곧 망할겜이니 빨리 탈출하삼
[퓨어바닐라] 길드 게시판,in300 길드원구합니다,"<길드 소개> ???* 길드 이름 : 붉은노을 * 길드 레벨 : 47레벨 * 전 시즌 길드 순위 : in500 * 전시즌 토벌 용 레벨 : 61레벨 * 30인 평균 토벌 딜 : 400만 이상 ? ? ?<가입 조건> * 용50레벨 토벌딜 350만 이상 ? ? ??<추방 기준> *? 토벌 미참여 * ?몰아치기 * ?미접속1일 (정산일 제외) ? ? ??<길드 규칙> * ?1용 1토벌 / 개인사정없이 몰아치기 금지 * ?용막타, 저렙용입장시 채팅후 입장  * ?막타보이면 바로바로 쳐주세요 * 토벌은 저녁11시 이전까지 해주세요 * 저녁11시 이후 온라인인데 토벌 안할경우 무통보 강퇴 ?* 오픈톡 자유참가 (토벌,아레나 정보공유 및 길드관리목적으로 운영) ? ?길드에 들어오시기 전에 길드규칙 숙지해주세요 ? ??관심있으신분은 댓글/문의주세요 https://open.kakao.com/o/sZZeL6vd"
[퓨어바닐라] 길드 게시판,길드 구해요,친목이나 옾챗 없이 하루 세번 토벌전만 하면 되는 길드 찾아요 （???）
자유 게시판,아씹 스파클링ㅋㅋㅋㅋㅋㅋ,누가 이렇게 만들었냐ㅋㅋㅋㅋㅋㅋㅋ 이런…이런… 스윗한 까깐데
자유 게시판,조선족이 아니라 중국동포라고 불러야되는 이유,?
자유 게시판,요즘 아레나에서 라떼가 많이보이는데,뭐야 상향받음? 갑자기 막 보이네
자유 게시판,길드 구해요..!,길드 구합니다..!ㅠㅠ 보통 2백만 후반에서 3백만 초반 정도 나옵니다. 쿠킹덤 빠지는 날 없이 매일 접속해서 꾸준히 안 빼먹고 매일 3번 칠 수 있습니다…! 킹덤 레벨은 44이고 그냥 꾸준하게 할 수 있는 부담 없는 길드 구해요 댓글 남겨주세요..????
자유 게시판,퓨바 바요 토핑좀 봐주세요 ㅠㅠ,어떻게 해야할지 모르겠습니단.. 퓨바는 쿨은 좀 낮추더라도 피감 올려야 될 것 같고 ? 바요는 그냥 라즈베리로 다채우는게 낫나요..? 어떤 분들은 아레나때 토핑 저렇게 나눠서 하길래ㅜ
자유 게시판,컨텐츠 뭐 없냐,빨리 만들어라..  ? ?
자유 게시판,님들아 장볼건데 여기서 뺄것좀 알려주세요,우유 4500 돈까스 2개 5000 치즈볼 2개 8000 피자볼 4000 돈까스 7000 치즈돈 8000 고추장참치2 2000 강된장참치2 2000 마일드참치2 2000 장조림참치2 2000 첵스2 6000 하겐다즈 쿠키앤크림 7500 하겐다즈 피넛버터 7500 하겐다즈 마끼아또 7500 하겐다즈 초콜릿 7500 하겐다즈 딸기 7500 곱창전골3 12000 왕갈비탕3 11000 콜라2 5000
자유 게시판,감초맛 대사 바꿔봄,?
[퓨어바닐라] 길드 게시판,상위 2% LV45 abaisser 길드원 모집 26/30,"★abaisser 길드 가입 조건 ? 1. 40~50레벨 용 피해량 200만 이상 1-1. 저렙용 원콤내는 방법을 아시는 분이라면 더욱 좋습니다 ? 2. 디스코드 사용 가능한 사람 2-1. 길드토벌전 불참자들 그날그날에 참여하라는 알림을 보내기 위해 존재하는 디코방입니다.  2-2. 하루도 빠짐 없이 참여 가능하다고 생각하는, 킹덤에 진심이신 분들은 디코에 참여할 필요가 없습니다(다만 만에하나의 실수로 불참했을 시에는 추방입니다) ? ★abaisser 길드의 규칙 ? 1. 하루 3회 토벌전 돌리기 1-1. 규칙은 사실상 이게 전부입니다. 아레나를 돌리든 말든, 스토리를 밀든 말든 신경 안 씁니다. 오직 토벌전만! 1-2. 디코방을 통해 매일 밤 10시~11시 사이에 멘션으로 토벌전 불참자들에게 알림을 보냅니다. 그래도 불참이라면 추방입니다. ? 2. 나눠치기 권장 2-1. 필수가 아닌 권장입니다. 권장이라서 규칙이라 하기에도 뭐하죠.  2-2. 무리하게 나눠치기 하려다가 잊어버려서 하루에 1~2번 밖에 못 친다면 경고 1회입니다. 경고 3회 누적 시 추방입니다 ? ? 디스코드 서버는 카카오톡 문의 시 링크 드리겠습니다 ? https://open.kakao.com/o/sWvubUud 편하게 문의 주세요!"
자유 게시판,대무역 언제 할까,다음주 안에 하겠지?
[퓨어바닐라] 길드 게시판,??위너위너치킨디너?? 안정적인 2% 길드에서 길드원 모집합니다. - 46렙 (28/30),"레벨: 46레벨 순위: 2% 길드원: 28/30 ? 토벌딜 200만 이상이신 분 와주세요! ? 매일매일 기여도 체크하며 관리합니다. 토벌전만 신경써 주세요. - 2일 미접, 성의없는 토벌의 경우 추방합니다. ?? - 매주 기여도 총합 커트라인 있습니다. - 나눠치기는 권장사항입니다. 3회 치는 게 더 중요! ? 오픈톡 없이 길챗으로만 소통합니다. 자유롭게 이용해 주세요. ? 신청만 해놓고 잠수타는 분들이 많이 계세요. 꼭 누군지 알려주시면 감사하겠습니다. 댓글 남겨주시면 최대한 빠르게 승인하겠습니다."
[퓨어바닐라] 길드 게시판,??쿠킹헤븐?? 길드LV.48!! 모든 시즌 상위 1% 길드!! 친목X단톡X 길드원 모집 중,?
?? 스크린샷 게시판,스쿠뽑 레전드!!! (홀리베리+2에픽+바요조각),운 다썼다....... ?
자유 게시판,여러분 행복한 꽃화분이라고 아세요?,?
자유 게시판,플립3로 킹덤하는사람?,이번주 목욜에 약정 끝나서 바로 플립3로 갈아탈 예정인데 ? 가운데 접히는 부분 신경쓰여??
질문 게시판,뉴비 모험덱이랑 아레나 덱좀 짜주세요 ㅠㅠ,현재 덱은 이런 상태고 뭐부터 레벨을 올려야할지 잘 모르겠네요...조언 부탁드립니다!
자유 게시판,혹시 쿠키성 13성 이신분 재료 모으기 빡세요??,몇개월 동안 12성에 멈춰 있는데 13성 가는게 왜캐 빡세 보이냐 ㅋㅋ
자유 게시판,얘들아 어그로한테 먹이를주지마,너네가 먹이를주니까 재들이 좋아서 글올리잖아 이렇게 차단을하고 먹이를안주는게어떨까?
[퓨어바닐라] 길드 게시판,[상위1%/성인여자/길드렙48] 최고인기 성인여자길드 바삭파??에서 신규인원 채용합니다,"in300 / 길드레벨 48 ? 왕인기 왕스타길드 바삭파 드디어 티오떴습니다?? ? 신입햄들 좋은 기회 싸게싸게 얻어가십쇼 ? ? ? ??쿠킹덤에 진심인 사람들이 모여서 이런저런 팁 주고 받는 친목없는 정보성 오카방 운영중입니다?? ? 그렇다고 딜 압박 전혀 안주구요, 딱딱한 분위기가 아닌 도란도란한 분위기입니다 ?? ? 막타전사 항시대기중입니다  ? ? ? - 가입 조건- ? ? 토벌딜 400만이상 ? 게임 진심으로하는 여성분들 환영환영?? ? (진심 쪼끔 못미쳐도 환영환영) ? ? ? @@정산받고오셔도 됩니다!@@ ? ? ? 성인 여성길드로 여성인증 필수로 진행합니다. ? 오픈카톡링크로 편하게 연락주세요. 기다리겠습니다! ? ? ? ★방장백수 항상 편하게 문의주세요★ https://open.kakao.com/o/sIi1lmZc ?"
[퓨어바닐라] 길드 게시판,길드레벨 Lv. 47 ?? 피톤치드 ?? 길드에서 길드원 3명 (27/30) 모집합니다 ??,"길드원분들이 여러명 갑자기 그만두셔서 5명 -> 3명 구합니다ㅠㅅㅠ  친구랑 같이 가입가능 !  ? 현재는 2%로 떨어졌지만 인원수만 다 채우면 금방 다시 1%로 올라갈 수 있어요  원래는 1%길드였습니다!  ? ? ? 1. 토벌전 데미지 250만 이상이신분 ( 50단계 이상일때) 2. 길드 토벌덱 ? [ 뱀파 60 / 호밀, 블레, 독?? 55 ] ? 3. 토벌 11시 이전까지 완료 해주실분 ? ? 자신이 쓰는덱 공략 숙지하신분 -> 공략숙지안되셨어도 알려드려요!  ? 저희가 11시에 확인해서 안되신분들은 체크 합니다 ? 4. 길드 랜마 보유 하신분 ? ? 지나친 친목이 싫으신분 편하게 숙제 하면서 1퍼 보상 받으실분 환영합니다 ? 저희 길드오픈 채팅에서는 따로 친목없이 ? 공지나 이벤트 게임 관련된 이야기만 하고 있습니다. ? ? ? ?? ♂? 추방 조건 ? ? 1. 출석 1일 이상 하지 않을 시 2. 토벌 2회 이상 미참시 (하루 3회 토벌에 참여하지 않은 경우 = 1회 미참 ) 3.기여도 컷 달성 미달시  ? ? 개인 사정으로 토벌 3번을 못한 경우에는 다음날 오전 중으로 오픈채팅으로 저나 부길마님한테 사정 말씀해주시면 됩니다! ? ? 토벌 기여도 컷은 길드 성장에 맞춰서 상승할 예정입니다 !! 문의방으로 편하게 [아레나티어 , 토벌덱 , 토벌 딜량 ] 스크린샷 첨부해서 아래 가입문의방으로 문의 주시면 됩니다! ? 열심히 길드 키워 가실분 토벌 딜 신경 써주실분 언제든지 환영 합니다 ㅎㅎ ? ? ? 피톤치드 가입 문의 : https://open.kakao.com/o/sjNJIzUb ? ?"
자유 게시판,아 진짜 살쿠 충동 느껴진다,우리 딸크는 뭐가 그렇게 뜨겁다고 순식간에 녹고 우리 바요는 뭐가 그렇게 힘들다고 딜 별로 넣지도 못하고 우리 감초는 뭐가 그렇게 아프다고 순식간에 녹고 우리 퓨바는 뭐가 그렇게 어렵다고 힐 별로 해주지도 못하고 우리 뱀파는 뭐가 그렇게 귀찮다고 치명타를 못 치냐 ? 어둠 11-23하다가 진짜 휴대폰 부실뻔 20번째 계속 하고 있는데 ㅅㅂ 딸기가 뒤지기 전에 딸크가 먼저 녹아버려;;; 쿠킹덤 접고싶다 진짜 개같은거 어우 썅
[퓨어바닐라] 길드 게시판,Lv.48 1% 260위 전시즌 58용 하트비트에서 마지막 길드원 모집합니다. (29/30),Lv.48 1% 260위 전시즌 58용 하트비트에서 마지막 길드원 모집합니다. (29/30) - 가입조건 : 무공7~8+독버섯60 인증 부탁드립니다. - 토벌전 매일 3회 필참 외 자유 (몰아치기 가능) - 친목 x https://open.kakao.com/o/slRLNXxd ?
자유 게시판,샤벳상어 토핑,뭐 해야해?
자유 게시판,토핑 ㅁㅌㅊ?,피감만 신경 썼는데
자유 게시판,어그로 잼민이들한테 뭐라해봤자 아무소용없다,부모선생 말도 안쳐듣는 것들이 일면식도 없는 사람 말을 들을 리가 없지
